"","categories","wares","slug"
"200","writer","macbook-pro","gina.trapani"
"201","developer","icurve","gina.trapani"
"202","mac","icurve","gina.trapani"
"203","web","icurve","gina.trapani"
"204","windows","icurve","gina.trapani"
"205","writer","icurve","gina.trapani"
"206","developer","jerker","gina.trapani"
"207","mac","jerker","gina.trapani"
"208","web","jerker","gina.trapani"
"209","windows","jerker","gina.trapani"
"210","writer","jerker","gina.trapani"
"211","developer","g1","gina.trapani"
"212","mac","g1","gina.trapani"
"213","web","g1","gina.trapani"
"214","windows","g1","gina.trapani"
"215","writer","g1","gina.trapani"
"216","developer","windows-xp","gina.trapani"
"217","mac","windows-xp","gina.trapani"
"218","web","windows-xp","gina.trapani"
"219","windows","windows-xp","gina.trapani"
"220","writer","windows-xp","gina.trapani"
"221","developer","windows-vista","gina.trapani"
"222","mac","windows-vista","gina.trapani"
"223","web","windows-vista","gina.trapani"
"224","windows","windows-vista","gina.trapani"
"225","writer","windows-vista","gina.trapani"
"226","developer","windows-7","gina.trapani"
"227","mac","windows-7","gina.trapani"
"228","web","windows-7","gina.trapani"
"229","windows","windows-7","gina.trapani"
"230","writer","windows-7","gina.trapani"
"231","developer","leopard","gina.trapani"
"232","mac","leopard","gina.trapani"
"233","web","leopard","gina.trapani"
"234","windows","leopard","gina.trapani"
"235","writer","leopard","gina.trapani"
"236","developer","google-reader","gina.trapani"
"237","mac","google-reader","gina.trapani"
"238","web","google-reader","gina.trapani"
"239","windows","google-reader","gina.trapani"
"240","writer","google-reader","gina.trapani"
"241","developer","google-calendar","gina.trapani"
"242","mac","google-calendar","gina.trapani"
"243","web","google-calendar","gina.trapani"
"244","windows","google-calendar","gina.trapani"
"245","writer","google-calendar","gina.trapani"
"246","developer","google-docs","gina.trapani"
"247","mac","google-docs","gina.trapani"
"248","web","google-docs","gina.trapani"
"249","windows","google-docs","gina.trapani"
"250","writer","google-docs","gina.trapani"
"251","developer","editplus","gina.trapani"
"252","mac","editplus","gina.trapani"
"253","web","editplus","gina.trapani"
"254","windows","editplus","gina.trapani"
"255","writer","editplus","gina.trapani"
"256","developer","chrome","gina.trapani"
"257","mac","chrome","gina.trapani"
"258","web","chrome","gina.trapani"
"259","windows","chrome","gina.trapani"
"260","writer","chrome","gina.trapani"
"261","developer","camtasia","gina.trapani"
"262","mac","camtasia","gina.trapani"
"263","web","camtasia","gina.trapani"
"264","windows","camtasia","gina.trapani"
"265","writer","camtasia","gina.trapani"
"266","developer","syncback","gina.trapani"
"267","mac","syncback","gina.trapani"
"268","web","syncback","gina.trapani"
"269","windows","syncback","gina.trapani"
"270","writer","syncback","gina.trapani"
"271","developer","instantshot","gina.trapani"
"272","mac","instantshot","gina.trapani"
"273","web","instantshot","gina.trapani"
"274","windows","instantshot","gina.trapani"
"275","writer","instantshot","gina.trapani"
"276","developer","time-machine","gina.trapani"
"277","mac","time-machine","gina.trapani"
"278","web","time-machine","gina.trapani"
"279","windows","time-machine","gina.trapani"
"280","writer","time-machine","gina.trapani"
"281","developer","todo.sh","gina.trapani"
"282","mac","todo.sh","gina.trapani"
"283","web","todo.sh","gina.trapani"
"284","windows","todo.sh","gina.trapani"
"285","writer","todo.sh","gina.trapani"
"286","developer","macbook-air","paul.graham"
"287","mac","macbook-air","paul.graham"
"288","web","macbook-air","paul.graham"
"289","developer","cinema-display","paul.graham"
"290","mac","cinema-display","paul.graham"
"291","web","cinema-display","paul.graham"
"292","developer","google-calendar","paul.graham"
"293","mac","google-calendar","paul.graham"
"294","web","google-calendar","paul.graham"
"295","developer","small-business","paul.graham"
"296","mac","small-business","paul.graham"
"297","web","small-business","paul.graham"
"298","developer","twitkitteh-ios","james.thomson"
"299","mac","twitkitteh-ios","james.thomson"
"300","software","twitkitteh-ios","james.thomson"
"301","developer","mac-pro","james.thomson"
"302","mac","mac-pro","james.thomson"
"303","software","mac-pro","james.thomson"
"304","developer","ipod-touch","james.thomson"
"305","mac","ipod-touch","james.thomson"
"306","software","ipod-touch","james.thomson"
"307","developer","filemaker-pro","james.thomson"
"308","mac","filemaker-pro","james.thomson"
"309","software","filemaker-pro","james.thomson"
"310","developer","pcalc-ios","james.thomson"
"311","mac","pcalc-ios","james.thomson"
"312","software","pcalc-ios","james.thomson"
"313","developer","twitkitteh-ios","james.thomson"
"314","mac","twitkitteh-ios","james.thomson"
"315","software","twitkitteh-ios","james.thomson"
"316","developer","fieldrunners-ios","james.thomson"
"317","mac","fieldrunners-ios","james.thomson"
"318","software","fieldrunners-ios","james.thomson"
"319","developer","eliss-ios","steph.thirion"
"320","game","eliss-ios","steph.thirion"
"321","mac","eliss-ios","steph.thirion"
"322","developer","macbook-pro","steph.thirion"
"323","game","macbook-pro","steph.thirion"
"324","mac","macbook-pro","steph.thirion"
"325","developer","ipod-touch","steph.thirion"
"326","game","ipod-touch","steph.thirion"
"327","mac","ipod-touch","steph.thirion"
"328","developer","sk-10","steph.thirion"
"329","game","sk-10","steph.thirion"
"330","mac","sk-10","steph.thirion"
"331","developer","mail","steph.thirion"
"332","game","mail","steph.thirion"
"333","mac","mail","steph.thirion"
"334","developer","tm-git-bundle","steph.thirion"
"335","game","tm-git-bundle","steph.thirion"
"336","mac","tm-git-bundle","steph.thirion"
"337","developer","s3","steph.thirion"
"338","game","s3","steph.thirion"
"339","mac","s3","steph.thirion"
"340","developer","app-engine-launcher","steph.thirion"
"341","game","app-engine-launcher","steph.thirion"
"342","mac","app-engine-launcher","steph.thirion"
"343","developer","app-engine","steph.thirion"
"344","game","app-engine","steph.thirion"
"345","mac","app-engine","steph.thirion"
"346","developer","fireworks","steph.thirion"
"347","game","fireworks","steph.thirion"
"348","mac","fireworks","steph.thirion"
"349","developer","illustrator","steph.thirion"
"350","game","illustrator","steph.thirion"
"351","mac","illustrator","steph.thirion"
"352","developer","photoshop","steph.thirion"
"353","game","photoshop","steph.thirion"
"354","mac","photoshop","steph.thirion"
"355","developer","time-machine","steph.thirion"
"356","game","time-machine","steph.thirion"
"357","mac","time-machine","steph.thirion"
"358","developer","logic-pro","steph.thirion"
"359","game","logic-pro","steph.thirion"
"360","mac","logic-pro","steph.thirion"
"361","developer","live","steph.thirion"
"362","game","live","steph.thirion"
"363","mac","live","steph.thirion"
"364","developer","soundtrack-pro","steph.thirion"
"365","game","soundtrack-pro","steph.thirion"
"366","mac","soundtrack-pro","steph.thirion"
"367","developer","battery-3","steph.thirion"
"368","game","battery-3","steph.thirion"
"369","mac","battery-3","steph.thirion"
"370","developer","ego-ios","garrett.murray"
"371","film","ego-ios","garrett.murray"
"372","mac","ego-ios","garrett.murray"
"373","software","ego-ios","garrett.murray"
"374","developer","macbook-pro","garrett.murray"
"375","film","macbook-pro","garrett.murray"
"376","mac","macbook-pro","garrett.murray"
"377","software","macbook-pro","garrett.murray"
"378","developer","cinema-display","garrett.murray"
"379","film","cinema-display","garrett.murray"
"380","mac","cinema-display","garrett.murray"
"381","software","cinema-display","garrett.murray"
"382","developer","keyboard","garrett.murray"
"383","film","keyboard","garrett.murray"
"384","mac","keyboard","garrett.murray"
"385","software","keyboard","garrett.murray"
"386","developer","mighty-mouse","garrett.murray"
"387","film","mighty-mouse","garrett.murray"
"388","mac","mighty-mouse","garrett.murray"
"389","software","mighty-mouse","garrett.murray"
"390","developer","mx-revolution","garrett.murray"
"391","film","mx-revolution","garrett.murray"
"392","mac","mx-revolution","garrett.murray"
"393","software","mx-revolution","garrett.murray"
"394","developer","companion-3","garrett.murray"
"395","film","companion-3","garrett.murray"
"396","mac","companion-3","garrett.murray"
"397","software","companion-3","garrett.murray"
"398","developer","drobo","garrett.murray"
"399","film","drobo","garrett.murray"
"400","mac","drobo","garrett.murray"
"401","software","drobo","garrett.murray"
"402","developer","airport-extreme","garrett.murray"
"403","film","airport-extreme","garrett.murray"
"404","mac","airport-extreme","garrett.murray"
"405","software","airport-extreme","garrett.murray"
"406","developer","mbox","garrett.murray"
"407","film","mbox","garrett.murray"
"408","mac","mbox","garrett.murray"
"409","software","mbox","garrett.murray"
"410","developer","ag-hvx200a","garrett.murray"
"411","film","ag-hvx200a","garrett.murray"
"412","mac","ag-hvx200a","garrett.murray"
"413","software","ag-hvx200a","garrett.murray"
"414","developer","af-nikkor-50mm-f1.8d","garrett.murray"
"415","film","af-nikkor-50mm-f1.8d","garrett.murray"
"416","mac","af-nikkor-50mm-f1.8d","garrett.murray"
"417","software","af-nikkor-50mm-f1.8d","garrett.murray"
"418","developer","af-nikkor-28mm-f2.8d","garrett.murray"
"419","film","af-nikkor-28mm-f2.8d","garrett.murray"
"420","mac","af-nikkor-28mm-f2.8d","garrett.murray"
"421","software","af-nikkor-28mm-f2.8d","garrett.murray"
"422","developer","d90","garrett.murray"
"423","film","d90","garrett.murray"
"424","mac","d90","garrett.murray"
"425","software","d90","garrett.murray"
"426","developer","iphone-3g","garrett.murray"
"427","film","iphone-3g","garrett.murray"
"428","mac","iphone-3g","garrett.murray"
"429","software","iphone-3g","garrett.murray"
"430","developer","photoshop","garrett.murray"
"431","film","photoshop","garrett.murray"
"432","mac","photoshop","garrett.murray"
"433","software","photoshop","garrett.murray"
"434","developer","final-cut-pro","garrett.murray"
"435","film","final-cut-pro","garrett.murray"
"436","mac","final-cut-pro","garrett.murray"
"437","software","final-cut-pro","garrett.murray"
"438","developer","pro-tools-le","garrett.murray"
"439","film","pro-tools-le","garrett.murray"
"440","mac","pro-tools-le","garrett.murray"
"441","software","pro-tools-le","garrett.murray"
"442","developer","podcast-maker","garrett.murray"
"443","film","podcast-maker","garrett.murray"
"444","mac","podcast-maker","garrett.murray"
"445","software","podcast-maker","garrett.murray"
"446","developer","ego-ios","garrett.murray"
"447","film","ego-ios","garrett.murray"
"448","mac","ego-ios","garrett.murray"
"449","software","ego-ios","garrett.murray"
"450","developer","tweetie-ios","garrett.murray"
"451","film","tweetie-ios","garrett.murray"
"452","mac","tweetie-ios","garrett.murray"
"453","software","tweetie-ios","garrett.murray"
"454","developer","netnewswire-ios","garrett.murray"
"455","film","netnewswire-ios","garrett.murray"
"456","mac","netnewswire-ios","garrett.murray"
"457","software","netnewswire-ios","garrett.murray"
"458","developer","things-ios","garrett.murray"
"459","film","things-ios","garrett.murray"
"460","mac","things-ios","garrett.murray"
"461","software","things-ios","garrett.murray"
"462","developer","horror-vacui-ios","garrett.murray"
"463","film","horror-vacui-ios","garrett.murray"
"464","mac","horror-vacui-ios","garrett.murray"
"465","software","horror-vacui-ios","garrett.murray"
"466","developer","fieldrunners-ios","garrett.murray"
"467","film","fieldrunners-ios","garrett.murray"
"468","mac","fieldrunners-ios","garrett.murray"
"469","software","fieldrunners-ios","garrett.murray"
"470","developer","groceries-ios","sophia.teutschler"
"471","mac","groceries-ios","sophia.teutschler"
"472","software","groceries-ios","sophia.teutschler"
"473","developer","tipulator-ios","sophia.teutschler"
"474","mac","tipulator-ios","sophia.teutschler"
"475","software","tipulator-ios","sophia.teutschler"
"476","developer","macbook-pro","sophia.teutschler"
"477","mac","macbook-pro","sophia.teutschler"
"478","software","macbook-pro","sophia.teutschler"
"479","developer","time-capsule","sophia.teutschler"
"480","mac","time-capsule","sophia.teutschler"
"481","software","time-capsule","sophia.teutschler"
"482","developer","soundsticks","sophia.teutschler"
"483","mac","soundsticks","sophia.teutschler"
"484","software","soundsticks","sophia.teutschler"
"485","developer","ipod","sophia.teutschler"
"486","mac","ipod","sophia.teutschler"
"487","software","ipod","sophia.teutschler"
"488","developer","mobile-me","sophia.teutschler"
"489","mac","mobile-me","sophia.teutschler"
"490","software","mobile-me","sophia.teutschler"
"491","developer","mighty-mouse","sophia.teutschler"
"492","mac","mighty-mouse","sophia.teutschler"
"493","software","mighty-mouse","sophia.teutschler"
"494","developer","no-kahuna","alex.kohlhofer"
"495","mac","no-kahuna","alex.kohlhofer"
"496","software","no-kahuna","alex.kohlhofer"
"497","developer","e207wfp","alex.kohlhofer"
"498","mac","e207wfp","alex.kohlhofer"
"499","software","e207wfp","alex.kohlhofer"
"500","developer","xbox-360","alex.kohlhofer"
"501","mac","xbox-360","alex.kohlhofer"
"502","software","xbox-360","alex.kohlhofer"
"503","developer","keyboard","alex.kohlhofer"
"504","mac","keyboard","alex.kohlhofer"
"505","software","keyboard","alex.kohlhofer"
"506","developer","eee-pc-901","alex.kohlhofer"
"507","mac","eee-pc-901","alex.kohlhofer"
"508","software","eee-pc-901","alex.kohlhofer"
"509","developer","chrome","alex.kohlhofer"
"510","mac","chrome","alex.kohlhofer"
"511","software","chrome","alex.kohlhofer"
"512","developer","safari","alex.kohlhofer"
"513","mac","safari","alex.kohlhofer"
"514","software","safari","alex.kohlhofer"
"515","developer","no-kahuna","alex.kohlhofer"
"516","mac","no-kahuna","alex.kohlhofer"
"517","software","no-kahuna","alex.kohlhofer"
"518","developer","google-reader","alex.kohlhofer"
"519","mac","google-reader","alex.kohlhofer"
"520","software","google-reader","alex.kohlhofer"
"521","developer","macbook-pro","anselm.hook"
"522","mac","macbook-pro","anselm.hook"
"523","software","macbook-pro","anselm.hook"
"524","developer","mac-os-x","anselm.hook"
"525","mac","mac-os-x","anselm.hook"
"526","software","mac-os-x","anselm.hook"
"527","developer","c-plusplus","anselm.hook"
"528","mac","c-plusplus","anselm.hook"
"529","software","c-plusplus","anselm.hook"
"530","developer","c-sharp","anselm.hook"
"531","mac","c-sharp","anselm.hook"
"532","software","c-sharp","anselm.hook"
"533","developer","yahoo-pipes","anselm.hook"
"534","mac","yahoo-pipes","anselm.hook"
"535","software","yahoo-pipes","anselm.hook"
"536","developer","macbook-pro","ben.fry"
"537","mac","macbook-pro","ben.fry"
"538","software","macbook-pro","ben.fry"
"539","developer","cinema-display","ben.fry"
"540","mac","cinema-display","ben.fry"
"541","software","cinema-display","ben.fry"
"542","developer","macbook-air","ben.fry"
"543","mac","macbook-air","ben.fry"
"544","software","macbook-air","ben.fry"
"545","developer","compass-597","ben.fry"
"546","mac","compass-597","ben.fry"
"547","software","compass-597","ben.fry"
"548","developer","carbon-emacs","ben.fry"
"549","mac","carbon-emacs","ben.fry"
"550","software","carbon-emacs","ben.fry"
"551","developer","hex-fiend","ben.fry"
"552","mac","hex-fiend","ben.fry"
"553","software","hex-fiend","ben.fry"
"554","designer","3007wfp","jakob.nielsen"
"555","usability","3007wfp","jakob.nielsen"
"556","windows","3007wfp","jakob.nielsen"
"557","designer","acer-ferrari-5000","jakob.nielsen"
"558","usability","acer-ferrari-5000","jakob.nielsen"
"559","windows","acer-ferrari-5000","jakob.nielsen"
"560","designer","ipod-touch","jakob.nielsen"
"561","usability","ipod-touch","jakob.nielsen"
"562","windows","ipod-touch","jakob.nielsen"
"563","designer","windows-vista","jakob.nielsen"
"564","usability","windows-vista","jakob.nielsen"
"565","windows","windows-vista","jakob.nielsen"
"566","designer","office","jakob.nielsen"
"567","usability","office","jakob.nielsen"
"568","windows","office","jakob.nielsen"
"569","designer","photoshop-elements","jakob.nielsen"
"570","usability","photoshop-elements","jakob.nielsen"
"571","windows","photoshop-elements","jakob.nielsen"
"572","developer","mac-pro","joe.hewitt"
"573","mac","mac-pro","joe.hewitt"
"574","software","mac-pro","joe.hewitt"
"575","developer","cinema-display","joe.hewitt"
"576","mac","cinema-display","joe.hewitt"
"577","software","cinema-display","joe.hewitt"
"578","developer","macbook-air","joe.hewitt"
"579","mac","macbook-air","joe.hewitt"
"580","software","macbook-air","joe.hewitt"
"581","developer","iphone-3gs","joe.hewitt"
"582","mac","iphone-3gs","joe.hewitt"
"583","software","iphone-3gs","joe.hewitt"
"584","developer","eos-5d-mark-ii","joe.hewitt"
"585","mac","eos-5d-mark-ii","joe.hewitt"
"586","software","eos-5d-mark-ii","joe.hewitt"
"587","developer","airport-extreme","joe.hewitt"
"588","mac","airport-extreme","joe.hewitt"
"589","software","airport-extreme","joe.hewitt"
"590","developer","time-machine","joe.hewitt"
"591","mac","time-machine","joe.hewitt"
"592","software","time-machine","joe.hewitt"
"593","developer","path-finder","joe.hewitt"
"594","mac","path-finder","joe.hewitt"
"595","software","path-finder","joe.hewitt"
"596","developer","photoshop","joe.hewitt"
"597","mac","photoshop","joe.hewitt"
"598","software","photoshop","joe.hewitt"
"599","developer","mac-os-x","joe.hewitt"
"600","mac","mac-os-x","joe.hewitt"
"601","software","mac-os-x","joe.hewitt"
"602","developer","mail","joe.hewitt"
"603","mac","mail","joe.hewitt"
"604","software","mail","joe.hewitt"
"605","developer","imovie","joe.hewitt"
"606","mac","imovie","joe.hewitt"
"607","software","imovie","joe.hewitt"
"608","developer","instapaper-ios","joe.hewitt"
"609","mac","instapaper-ios","joe.hewitt"
"610","software","instapaper-ios","joe.hewitt"
"611","developer","quadcamera-ios","joe.hewitt"
"612","mac","quadcamera-ios","joe.hewitt"
"613","software","quadcamera-ios","joe.hewitt"
"614","developer","yelp-ios","joe.hewitt"
"615","mac","yelp-ios","joe.hewitt"
"616","software","yelp-ios","joe.hewitt"
"617","developer","mlb-at-bat-ios","joe.hewitt"
"618","mac","mlb-at-bat-ios","joe.hewitt"
"619","software","mlb-at-bat-ios","joe.hewitt"
"620","developer","pandora-ios","joe.hewitt"
"621","mac","pandora-ios","joe.hewitt"
"622","software","pandora-ios","joe.hewitt"
"623","developer","kindle-ios","joe.hewitt"
"624","mac","kindle-ios","joe.hewitt"
"625","software","kindle-ios","joe.hewitt"
"626","developer","twitterrific-ios","joe.hewitt"
"627","mac","twitterrific-ios","joe.hewitt"
"628","software","twitterrific-ios","joe.hewitt"
"629","developer","facebook-ios","joe.hewitt"
"630","mac","facebook-ios","joe.hewitt"
"631","software","facebook-ios","joe.hewitt"
"632","developer","google-reader","joe.hewitt"
"633","mac","google-reader","joe.hewitt"
"634","software","google-reader","joe.hewitt"
"635","developer","ipod-touch","joe.hewitt"
"636","mac","ipod-touch","joe.hewitt"
"637","software","ipod-touch","joe.hewitt"
"638","developer","mac-pro","john.siracusa"
"639","mac","mac-pro","john.siracusa"
"640","software","mac-pro","john.siracusa"
"641","writer","mac-pro","john.siracusa"
"642","developer","cinema-display","john.siracusa"
"643","mac","cinema-display","john.siracusa"
"644","software","cinema-display","john.siracusa"
"645","writer","cinema-display","john.siracusa"
"646","developer","gigaworks-t40","john.siracusa"
"647","mac","gigaworks-t40","john.siracusa"
"648","software","gigaworks-t40","john.siracusa"
"649","writer","gigaworks-t40","john.siracusa"
"650","developer","mx-300","john.siracusa"
"651","mac","mx-300","john.siracusa"
"652","software","mx-300","john.siracusa"
"653","writer","mx-300","john.siracusa"
"654","developer","performa-6110cd","john.siracusa"
"655","mac","performa-6110cd","john.siracusa"
"656","software","performa-6110cd","john.siracusa"
"657","writer","performa-6110cd","john.siracusa"
"658","developer","dgs-2205","john.siracusa"
"659","mac","dgs-2205","john.siracusa"
"660","software","dgs-2205","john.siracusa"
"661","writer","dgs-2205","john.siracusa"
"662","developer","airport-extreme","john.siracusa"
"663","mac","airport-extreme","john.siracusa"
"664","software","airport-extreme","john.siracusa"
"665","writer","airport-extreme","john.siracusa"
"666","developer","stylus-cx7800","john.siracusa"
"667","mac","stylus-cx7800","john.siracusa"
"668","software","stylus-cx7800","john.siracusa"
"669","writer","stylus-cx7800","john.siracusa"
"670","developer","macbook-pro","john.siracusa"
"671","mac","macbook-pro","john.siracusa"
"672","software","macbook-pro","john.siracusa"
"673","writer","macbook-pro","john.siracusa"
"674","developer","ipod-touch","john.siracusa"
"675","mac","ipod-touch","john.siracusa"
"676","software","ipod-touch","john.siracusa"
"677","writer","ipod-touch","john.siracusa"
"678","developer","ipod-shuffle","john.siracusa"
"679","mac","ipod-shuffle","john.siracusa"
"680","software","ipod-shuffle","john.siracusa"
"681","writer","ipod-shuffle","john.siracusa"
"682","developer","messagepad-120","john.siracusa"
"683","mac","messagepad-120","john.siracusa"
"684","software","messagepad-120","john.siracusa"
"685","writer","messagepad-120","john.siracusa"
"686","developer","time-machine","john.siracusa"
"687","mac","time-machine","john.siracusa"
"688","software","time-machine","john.siracusa"
"689","writer","time-machine","john.siracusa"
"690","developer","superduper","john.siracusa"
